name,select
retweeted_status.quoted_status.user.protected,FALSE
retweeted_status.quoted_status.user.screen_name,FALSE
retweeted_status.quoted_status.user.statuses_count,FALSE
retweeted_status.quoted_status.user.time_zone,FALSE
retweeted_status.quoted_status.user.url,FALSE
retweeted_status.quoted_status.user.utc_offset,FALSE
retweeted_status.quoted_status.user.verified,FALSE
retweeted_status.quoted_status_id,FALSE
retweeted_status.quoted_status_id_str,FALSE
retweeted_status.truncated,FALSE
retweeted_status.user.contributors_enabled,FALSE
retweeted_status.user.created_at,FALSE
retweeted_status.user.default_profile,FALSE
retweeted_status.user.default_profile_image,FALSE
retweeted_status.user.description,FALSE
retweeted_status.user.favourites_count,FALSE
retweeted_status.user.follow_request_sent,FALSE
retweeted_status.user.followers_count,FALSE
retweeted_status.user.following,FALSE
retweeted_status.user.friends_count,FALSE
retweeted_status.user.geo_enabled,FALSE
retweeted_status.user.id,FALSE
retweeted_status.user.id_str,FALSE
retweeted_status.user.is_translator,FALSE
retweeted_status.user.lang,FALSE
retweeted_status.user.listed_count,FALSE
retweeted_status.user.name,FALSE
retweeted_status.user.notifications,FALSE
retweeted_status.user.profile_background_color,FALSE
retweeted_status.user.profile_background_image_url,FALSE
retweeted_status.user.profile_background_image_url_https,FALSE
retweeted_status.user.profile_background_tile,FALSE
retweeted_status.user.profile_banner_url,FALSE
retweeted_status.user.profile_image_url,FALSE
retweeted_status.user.profile_image_url_https,FALSE
retweeted_status.user.profile_link_color,FALSE
retweeted_status.user.profile_sidebar_border_color,FALSE
retweeted_status.user.profile_sidebar_fill_color,FALSE
retweeted_status.user.profile_text_color,FALSE
retweeted_status.user.profile_use_background_image,FALSE
retweeted_status.user.protected,FALSE
retweeted_status.user.statuses_count,FALSE
retweeted_status.user.url,FALSE
retweeted_status.user.utc_offset,FALSE
retweeted_status.user.verified,FALSE
truncated,FALSE
user.contributors_enabled,FALSE
user.default_profile,FALSE
user.default_profile_image,FALSE
user.follow_request_sent,FALSE
user.followers_count,FALSE
user.following,FALSE
user.id_str,FALSE
user.is_translator,FALSE
user.listed_count,FALSE
user.notifications,FALSE
user.profile_background_color,FALSE
user.profile_background_image_url,FALSE
user.profile_background_image_url_https,FALSE
user.profile_background_tile,FALSE
user.profile_banner_url,FALSE
user.profile_image_url,FALSE
user.profile_image_url_https,FALSE
user.profile_link_color,FALSE
user.profile_sidebar_border_color,FALSE
user.profile_sidebar_fill_color,FALSE
user.profile_text_color,FALSE
user.profile_use_background_image,FALSE
user.protected,FALSE
quoted_status.possibly_sensitive,FALSE
quoted_status.user.name,FALSE
user.verified,FALSE
quoted_status.coordinates,FALSE
quoted_status.user.location,FALSE
retweeted_status.coordinates,FALSE
retweeted_status.user.location,FALSE
retweeted_status.user.screen_name,FALSE
retweeted_status.user.time_zone,FALSE
retweeted_status.retweet_count,FALSE
retweeted_status.retweeted,FALSE
retweeted_status.text,FALSE
entities.media,FALSE
entities.user_mentions,FALSE
quoted_status.retweet_count,FALSE
quoted_status.retweeted,FALSE
quoted_status.text,FALSE
quoted_status.user.screen_name,FALSE
timestamp_ms,FALSE
user.created_at,FALSE
user.description,FALSE
user.lang,FALSE
quoted_status.source,FALSE
retweeted_status.source,FALSE
contributors,FALSE
id,FALSE
user.id,FALSE
user.screen_name,FALSE
user.time_zone,FALSE
user.url,FALSE
user.utc_offset,FALSE
coordinates,TRUE
created_at,TRUE
favorite_count,TRUE
favorited,TRUE
geo,TRUE
place,TRUE
retweet_count,TRUE
retweeted,TRUE
source,TRUE
text,TRUE
user.favourites_count,TRUE
user.friends_count,TRUE
user.geo_enabled,TRUE
user.location,TRUE
user.name,TRUE
user.statuses_count,TRUE
